"Marginalia","Siglum","Folio","Sequence","Incipit","Feast","Office","Genre","Position","Cantus ID","Mode","Finalis","Differentia","Full text (standardized)","Full text (MS spelling)","Volpiano","Indexing notes","Image link","Melody ID","CAO Concordances"
"","US-NYcub Plimpton 41","001r","1","Mox ut vocem domini praedicantis ","Andreae","V","R","","007182 _","3","E","","Mox ut vocem domini praedicantis audivit beatus Andreas relictis retibus quorum usu actuque vivebat aeternae vitae secutus est praemia largitorem","Mox ut vocem domini predicantis audivit beatus Andreas relictis retibus quorum usu actuque vivebat eternae vitae secutus est praemia largitorem","","","","",""
"","US-NYcub Plimpton 41","002r","1","Hic est qui pro amore ","Andreae","V","V","01 _","007182za _","3","E","","Hic est qui pro amore Christi pependit in cruce et pro lege eius sustinunt passionem","Hic est qui pro amore Christi pependit in cruce et pro lege eius sustinunt passionem","","","","",""
"","US-NYcub Plimpton 41","002v","1","Gloria patri et filio et ","Andreae","V","V","02 _","909000 _","3","E","","Gloria patri et filio et spiritui sancto","Gloria patri et filio et spiritui sancto","","","","",""
"","US-NYcub Plimpton 41","002v","2","Exsultet*","Andreae","V","H","","008301 _","","","","Exsultet*","Exultet*","","","","",""
"","US-NYcub Plimpton 41","002v","3","Annuntiaverunt opera dei R. Et ","Andreae","V","W","1 _","007950 _","","","","Annuntiaverunt opera dei R. Et facta ejus intellexerunt","Annuntiaverunt opera dei R. Et facta eius intellexrunt","","","","",""
"","US-NYcub Plimpton 41","002v","4","Unus ex duobus*","Andreae","V","A","M _","005279 _","*","*","","Unus ex duobus*","Unus ex duobus*","","","","",""
"","US-NYcub Plimpton 41","002v","5","Salve crux pretiosa suscipe discipulum ","Andreae","D","A","1 _","004693 _","7","G","C1","Salve crux pretiosa suscipe discipulum ejus qui pependit in te magister meus Christus","Salve crux pretiosa suscipe discipulum eius qui pependit in te magister meus christus","","","","",""
"","US-NYcub Plimpton 41","003r","1","Beatus Andreas orabat dicens domine ","Andreae","D","A","2 _","001610 _","8","G","G1","Beatus Andreas orabat dicens domine rex aeternae gloriae suscipe me pendentem in patibulo","Beatus Andreas orabat dicens domine rex aeterne glorie suscipe me pendentem in patibulo","","","","",""
"","US-NYcub Plimpton 41","003v","1","Andreas Christi famulus dignus deo ","Andreae","D","A","3 _","001396 _","8","G","G1","Andreas Christi famulus dignus deo apostolus germanus Petri et in passione socius","Andreas Christi famulus dignus dei apostolus germanus Petri et in passione socius","","","","",""
"","US-NYcub Plimpton 41","004r","1","Qui persequebatur justum demersisti eum ","Andreae","D","A","4 _","004492 _","7","G","A1","Qui persequebatur justum demersisti eum domine in infernum et in ligno crucis dux justi fuisti","Qui persequebatur iustum demersisti eos domine in inferno et in ligno crucis dux iusti fuisti","","","","",""
"","US-NYcub Plimpton 41","004v","1","Unus ex duobus qui secuti ","Andreae","V","A","M _","005279 _","1","D ","F1","Unus ex duobus qui secuti sunt dominum erat Andreas frater Simonis Petri alleluia","Unus ex duobus qui secuti sunt dominum erat Andreas frater Symonis Petri alleluya","","","","",""
"","US-NYcub Plimpton 41","005r","1","Unus ex duobus*","Andreae","M","A","3. _","005279 _","*","","","Unus ex duobus*","Unus ex duobus*","","","","",""
"","US-NYcub Plimpton 41","005r","2","Concede nobis hominem justum redde ","Andreae","L","A","B _","001863 _","7","G","A1","Concede nobis hominem justum redde nobis hominem sanctum ne interficias hominem deo carum justum mansuetum et pium","Concede nobis hominem iustum redde nobis hominem sanctum ne interficias hominem deo carum iustum mansuetum et pium","","","","",""
"","US-NYcub Plimpton 41","006r","1","Salve crux*","Andreae","V2","A","p _","004693 _","*","","","Salve crux*","Salve crux*","","","","",""
"","US-NYcub Plimpton 41","006r","2","Cum pervenisset beatus Andreas ad ","Andreae","V2","A","M _","002024 _","1","D","F1","Cum pervenisset beatus Andreas ad locum ubi crux parata erat exclamavit et dixit o bona crux diu desiderata et jam concupiscenti animo praeparata securus et gaudens venio ad te ita ut et tu exsultans suscipias me discipulum ejus qui pependit in te","Cum pervenisset beatus Andreas ad locum ubi crux parata erat exclamavit et dixit o bona crux diu desiderata et jam concupiscenti animo preparata securus et gaudens venio ad te ita ut et tu exsultans suscipias me discipulum eius qui pependit in te","","","","",""
"","US-NYcub Plimpton 41","007r","1","Beatus nicolaus pontificatus infulis decoratus ","Nicolai","L","A","1 _","001652 _","2","D","G2","Beatus nicolaus pontificatus infulis decoratus talem se exhibuit ut ab omnibus amaretur","Beatus nicolaus pontificatus infulis decoratus talem se exhibuit ut ab omnibus amaretur","","","","",""
"","US-NYcub Plimpton 41","007v","1","Ecclesiae sanctae frequentans limina sacra ","Nicolai","L","A","2 _","002562 _","2","D","D1","Ecclesiae sanctae frequentans limina sacra pectori mandata condebat sagaciter","Ecclesie sancte frequentans limina sacra pectori mandata condebat sagaciter","","","","",""
"","US-NYcub Plimpton 41","008r","1","Infantia teneriori decursa corpus jejuniis ","Nicolai","L","A","3 _","003329 _","7","G","G1","Infantia teneriori decursa corpus jejuniis macerabat","Infantia teneriori decursa corpus ieiuniis macerabat","","","","",""
"","US-NYcub Plimpton 41","008v","1","Sancte N. confessor domini pretiose ","Nicolai","L","A","4 _","004717 _","4","E","E1","Sancte N. confessor domini pretiose adesto nostris precibus pius ac propitius","Sancte nicholae confessor domini pretiose adesto nostris precibus pius ac propitius","","","","",""
"","US-NYcub Plimpton 41","009r","1","Operibus sanctis Nicolao humiliter insistente ","Nicolai","V","R","","007324 _","2","D","","Operibus sanctis Nicolao humiliter insistente revelatione divina provectus est ad summum sacerdotii gradum","Operibus sanctis nicholaus humiliter insistente revelatione divina provectus est ad summum sacerdotii gradum","","","","",""
"","US-NYcub Plimpton 41","009v","1","Voce quippe de caelo lapsa ","Nicolai","V","V","01 _","007324a _","2","D","","Voce quippe de caelo lapsa quidam insinuat praesuli dignum episcopatu Nicolaum","Voce quippe de caelo lapsa quidam insinuat praesuli dignum episcopatu nicholaum","","","","",""
"","US-NYcub Plimpton 41","010r","1","Gloria patri et filio et ","Nicolai","V","V","02 _","909000 _","2","D","","Gloria patri et filio et spiritui sancto","Gloria patri et filio et spiritui sancto","","","","",""
"","US-NYcub Plimpton 41","010v","1","Ecce sacerdos magnus R. Qui ","Nicolai","V","W","","008040 _","*","","","Ecce sacerdos magnus R. Qui in diebus suis placuit*","Ecce sacerdos magnus R. Qui in diebus suis placuit*","","","","",""
