_pid,_asset_data.original_filename,_doi,title-1:title_sort_portion
cul:1c59zw3skd,pl41_-01_000r.tif,doi:10.7916/D87H329C,Leaf 000 - Recto
cul:mgqnk98v28,pl41_000_000v.tif,doi:10.7916/D8W96SX3,Leaf 000 - Verso
cul:ht76hdr9cr,pl41_001_001r.tif,doi:10.7916/D8RJ6282,Leaf 001 - Recto
cul:8931zcrkzc,pl41_002_001v.tif,doi:10.7916/D80Z8M3H,Leaf 001 - Verso
cul:9kd51c5cj6,pl41_003_002r.tif,doi:10.7916/D8H14JR1,Leaf 002 - Recto
cul:z612jm65k1,pl41_004_002v.tif,doi:10.7916/D8MS59KS,Leaf 002 - Verso
cul:0k6djh9xhs,pl41_005_003r.tif,doi:10.7916/D8QJ9137,Leaf 003 - Recto
cul:g1jwstqm93,pl41_006_003v.tif,doi:10.7916/D82V3ZWN,Leaf 003 - Verso
cul:xsj3tx97hh,pl41_007_004r.tif,doi:10.7916/D86H616F,Leaf 004 - Recto
cul:5dv41ns3bx,pl41_008_004v.tif,doi:10.7916/D8KS889M,Leaf 004 - Verso
cul:rbnzs7h5t4,pl41_009_005r.tif,doi:10.7916/D8V99RW2,Leaf 005 - Recto
cul:1c59zw3skf,pl41_010_005v.tif,doi:10.7916/D803088Z,Leaf 005 - Verso
cul:3r2280gcs3,pl41_011_006r.tif,doi:10.7916/D8B86RVG,Leaf 006 - Recto
cul:g79cnp5k8w,pl41_012_006v.tif,doi:10.7916/D8G17HJR,Leaf 006 - Verso
cul:fqz612jnw8,pl41_013_007r.tif,doi:10.7916/D8JT175S,Leaf 007 - Recto
cul:7m0cfxpqfg,pl41_014_007v.tif,doi:10.7916/D8989QTF,Leaf 007 - Verso
cul:s1rn8pk28t,pl41_015_008r.tif,doi:10.7916/D81V6XSQ,Leaf 008 - Recto
cul:c59zw3r3n4,pl41_016_008v.tif,doi:10.7916/D8TB2QQS,Leaf 008 - Verso
cul:7m0cfxpqfh,pl41_017_009r.tif,doi:10.7916/D8F20GFC,Leaf 009 - Recto
cul:7wm37pvp0m,pl41_018_009v.tif,doi:10.7916/D8Z33GHD,Leaf 009 - Verso
cul:hqbzkh1b02,pl41_019_010r.tif,doi:10.7916/D8PK1ZWQ,Leaf 010 - Recto
cul:jq2bvq850p,pl41_020_010v.tif,doi:10.7916/D85M7PG0,Leaf 010 - Verso
cul:n2z34tmr53,pl41_021_011r.tif,doi:10.7916/D8X36F8P,Leaf 011 - Recto
cul:8sf7m0chjf,pl41_022_011v.tif,doi:10.7916/D8NK4XRB,Leaf 011 - Verso
cul:r2280gb772,pl41_023_012r.tif,doi:10.7916/D8HT462V,Leaf 012 - Recto
cul:kd51c5b1gc,pl41_024_012v.tif,doi:10.7916/D8D23FDB,Leaf 012 - Verso
cul:tqjq2bvrtn,pl41_025_013r.tif,doi:10.7916/D8SB5PG2,Leaf 013 - Recto
cul:905qfttggp,pl41_026_013v.tif,doi:10.7916/D88D1D00,Leaf 013 - Verso
cul:kprr4xh01j,pl41_027_014r.tif,doi:10.7916/D84N0NCM,Leaf 014 - Recto
cul:hx3ffbg8vs,pl41_028_014v.tif,doi:10.7916/D80V9WKF,Leaf 014 - Verso
cul:2ngf1vhk9c,pl41_029_015r.tif,doi:10.7916/D8MK7WND,Leaf 015 - Recto
cul:m0cfxpnxhm,pl41_030_015v.tif,doi:10.7916/D8W39D2D,Leaf 015 - Verso
cul:f1vhhmgs7n,pl41_031_016r.tif,doi:10.7916/D87D4C0D,Leaf 016 - Recto
cul:8pk0p2nj0w,pl41_032_016v.tif,doi:10.7916/D8RB8NBP,Leaf 016 - Verso
cul:1ns1rn8r48,pl41_033_017r.tif,doi:10.7916/D8GT750C,Leaf 017 - Recto
cul:g79cnp5k8x,pl41_034_017v.tif,doi:10.7916/D83N3M6S,Leaf 017 - Verso
cul:mkkwh70tjx,pl41_035_018r.tif,doi:10.7916/D8C553MC,Leaf 018 - Recto
cul:7h44j0zqzf,pl41_036_018v.tif,doi:10.7916/D8ZW33NK,Leaf 018 - Verso
cul:5hqbzkh2tz,pl41_037_019r.tif,doi:10.7916/D8V42BX5,Leaf 019 - Recto
cul:gqnk98sgvd,pl41_038_019v.tif,doi:10.7916/D8QC1M8R,Leaf 019 - Verso
cul:rjdfn2z4t2,pl41_039_020r.tif,doi:10.7916/D8KM0VNC,Leaf 020 - Recto
